UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY (GE14),TOTAL ELECTORATE (GE14),ETHNIC CLASSIFICATION (2018),MEDIAN MONTHLY HOUSEHOLD GROSS INCOME (2019),MEAN MONTHLY HOUSEHOLD GROSS INCOME (2019),GINI COEFFICIENT (2019),ABSOLUTE POVERTY INCIDENCE (%) (2019)
P. 001,PERLIS,P. 001,PADANG BESAR,BN - UMNO,46096,MALAY MAJORITY (60 % AND ABOVE),4075,4747,0.31,5.7
P. 002,PERLIS,P. 002,KANGAR,PH - PKR,55938,MALAY MAJORITY (60 % AND ABOVE),4889,5899,0.35,4.2
P. 003,PERLIS,P. 003,ARAU,BN - UMNO,48187,MALAY MAJORITY (60 % AND ABOVE),4594,5411,0.31,1.4
P. 004,KEDAH,P. 004,LANGKAWI,PH - PPBM,42697,MALAY MAJORITY (60 % AND ABOVE),5905,6737,0.28,0.9
P. 005,KEDAH,P. 005,JERLUN,PH - PPBM,54132,MALAY MAJORITY (60 % AND ABOVE),4106,4919,0.29,6.7
P. 006,KEDAH,P. 006,KUBANG PASU,PH - PPBM,73881,MALAY MAJORITY (60 % AND ABOVE),5060,6673,0.37,4.3
P. 007,KEDAH,P. 007,PADANG TERAP,BN - UMNO,46644,MALAY MAJORITY (60 % AND ABOVE),3722,4781,0.31,9.1
P. 008,KEDAH,P. 008,POKOK SENA,PH - AMANAH,86892,MALAY MAJORITY (60 % AND ABOVE),4443,5522,0.33,6.8
P. 009,KEDAH,P. 009,ALOR SETAR,PH - PKR,80272,MALAY MAJORITY (60 % AND ABOVE),4543,5540,0.32,4.9
P. 010,KEDAH,P. 010,KUALA KEDAH,PH - PKR,97753,MALAY MAJORITY (60 % AND ABOVE),4405,5912,0.38,7.3
P. 011,KEDAH,P. 011,PENDANG,GS - PAS,74867,MALAY MAJORITY (60 % AND ABOVE),3765,4680,0.31,8.1
